English Name,Bird Song
Yellow-eyed Bristlebill,https://xeno-canto.org/432539/download
Grey-chinned Sunbird,https://xeno-canto.org/739381/download
Grey-chinned Sunbird,https://xeno-canto.org/739380/download
Yellow-eyed Bristlebill,https://xeno-canto.org/612789/download
Yellow-eyed Bristlebill,https://xeno-canto.org/312505/download
Yellow-eyed Bristlebill,https://xeno-canto.org/287834/download
Yellow-eyed Bristlebill,https://xeno-canto.org/283456/download
Yellow-eyed Bristlebill,https://xeno-canto.org/138931/download
Yellow-eyed Bristlebill,https://xeno-canto.org/138930/download
Yellow-eyed Bristlebill,https://xeno-canto.org/64976/download
Yellow-eyed Bristlebill,https://xeno-canto.org/64975/download
Grey-chinned Sunbird,https://xeno-canto.org/739383/download
Egyptian Goose,https://xeno-canto.org/138295/download
Yellow-billed Duck,https://xeno-canto.org/282032/download
Helmeted Guineafowl,https://xeno-canto.org/117039/download
Stone Partridge,https://xeno-canto.org/739976/download
Nahan's Partridge,https://xeno-canto.org/739975/download
Nahan's Partridge,https://xeno-canto.org/739974/download
Nahan's Partridge,https://xeno-canto.org/739973/download
Nahan's Partridge,https://xeno-canto.org/739972/download
Nahan's Partridge,https://xeno-canto.org/166387/download
Nahan's Partridge,https://xeno-canto.org/292767/download
Crested Francolin,https://xeno-canto.org/739639/download
Crested Francolin,https://xeno-canto.org/281986/download
Crested Francolin,https://xeno-canto.org/182107/download
Crested Francolin,https://xeno-canto.org/83787/download
Crested Francolin,https://xeno-canto.org/667443/download
Crested Francolin,https://xeno-canto.org/237750/download
Crested Francolin,https://xeno-canto.org/48355/download
Coqui Francolin,https://xeno-canto.org/739886/download
Coqui Francolin,https://xeno-canto.org/157032/download
Red-winged Francolin,https://xeno-canto.org/608529/download
Handsome Spurfowl,https://xeno-canto.org/739971/download
Handsome Spurfowl,https://xeno-canto.org/739970/download
Handsome Spurfowl,https://xeno-canto.org/739968/download
Handsome Spurfowl,https://xeno-canto.org/739969/download
Handsome Spurfowl,https://xeno-canto.org/157042/download
Handsome Spurfowl,https://xeno-canto.org/41203/download
Scaly Spurfowl,https://xeno-canto.org/352796/download
Heuglin's Spurfowl,https://xeno-canto.org/739967/download
Heuglin's Spurfowl,https://xeno-canto.org/739966/download
Heuglin's Spurfowl,https://xeno-canto.org/739965/download
Heuglin's Spurfowl,https://xeno-canto.org/182106/download
Heuglin's Spurfowl,https://xeno-canto.org/83807/download
Clapperton's Spurfowl,https://xeno-canto.org/739964/download
Red-necked Spurfowl,https://xeno-canto.org/739962/download
Red-necked Spurfowl,https://xeno-canto.org/701807/download
Red-necked Spurfowl,https://xeno-canto.org/218087/download
Red-necked Spurfowl,https://xeno-canto.org/739963/download
Red-necked Spurfowl,https://xeno-canto.org/739961/download
Red-necked Spurfowl,https://xeno-canto.org/537112/download
Red-necked Spurfowl,https://xeno-canto.org/537111/download
Red-necked Spurfowl,https://xeno-canto.org/268759/download
Red-necked Spurfowl,https://xeno-canto.org/157066/download
Black-shouldered Nightjar,https://xeno-canto.org/514055/download
Black-shouldered Nightjar,https://xeno-canto.org/252070/download
Black-shouldered Nightjar,https://xeno-canto.org/252069/download
Black-shouldered Nightjar,https://xeno-canto.org/782794/download
Black-shouldered Nightjar,https://xeno-canto.org/701665/download
Black-shouldered Nightjar,https://xeno-canto.org/282011/download
Black-shouldered Nightjar,https://xeno-canto.org/282010/download
Black-shouldered Nightjar,https://xeno-canto.org/701666/download
Black-shouldered Nightjar,https://xeno-canto.org/667579/download
Black-shouldered Nightjar,https://xeno-canto.org/610922/download
Black-shouldered Nightjar,https://xeno-canto.org/136672/download
Black-shouldered Nightjar,https://xeno-canto.org/48357/download
Montane Nightjar,https://xeno-canto.org/302934/download
Montane Nightjar,https://xeno-canto.org/234864/download
Montane Nightjar,https://xeno-canto.org/541607/download
Montane Nightjar,https://xeno-canto.org/235888/download
Montane Nightjar,https://xeno-canto.org/234865/download
Montane Nightjar,https://xeno-canto.org/166356/download
Swamp Nightjar,https://xeno-canto.org/83799/download
Freckled Nightjar,https://xeno-canto.org/739483/download
Freckled Nightjar,https://xeno-canto.org/537117/download
Freckled Nightjar,https://xeno-canto.org/514056/download
Freckled Nightjar,https://xeno-canto.org/227513/download
Freckled Nightjar,https://xeno-canto.org/227496/download
Freckled Nightjar,https://xeno-canto.org/537118/download
Freckled Nightjar,https://xeno-canto.org/282041/download
Freckled Nightjar,https://xeno-canto.org/282040/download
Freckled Nightjar,https://xeno-canto.org/48349/download
Bates's Nightjar,https://xeno-canto.org/739481/download
